Cycle,RFU,Gene,Group,Replicate
16,1.35668258658688,Ins1,DSS-IL10-KO,2
16,3.78664351223642,Ins1,DSS-IL10-KO,3
16,6.85801759571677,Ins1,DSS-IL10-KO,4
16,-0.611186563333831,Ins2,DSS-IL10-KO,1
16,0.685831352807782,Ins2,DSS-IL10-KO,2
16,-1.11444201496761,Ins2,DSS-IL10-KO,3
16,-2.34432945065691,Ins2,DSS-IL10-KO,4
17,11.2784551988711,Ins1,IL10-KO,1
17,-0.541210847453385,Ins1,IL10-KO,2
17,0.646898068110204,Ins1,IL10-KO,3
17,6.7955836622059,Ins1,IL10-KO,4
17,-1.66209259873176,Ins2,IL10-KO,1
17,-0.818762038403292,Ins2,IL10-KO,2
17,-1.9982095883679,Ins2,IL10-KO,3
17,-2.78941357121039,Ins2,IL10-KO,4
17,4.81023890666484,Ins1,DSS-IL10-KO,1
17,3.47227562338003,Ins1,DSS-IL10-KO,2
17,6.16701028224725,Ins1,DSS-IL10-KO,3
17,6.67473523215995,Ins1,DSS-IL10-KO,4
17,2.35797369311285,Ins2,DSS-IL10-KO,1
17,2.03624936846563,Ins2,DSS-IL10-KO,2
17,1.14874443370627,Ins2,DSS-IL10-KO,3
17,2.05194443423352,Ins2,DSS-IL10-KO,4
18,12.8911577309414,Ins1,IL10-KO,1
18,-1.56084479417768,Ins1,IL10-KO,2
18,0.19176387161815,Ins1,IL10-KO,3
18,1.67869131462066,Ins1,IL10-KO,4
18,0.111563662368098,Ins2,IL10-KO,1
18,0.667046042951824,Ins2,IL10-KO,2
18,-0.894855021266721,Ins2,IL10-KO,3
18,0.910557691353006,Ins2,IL10-KO,4
18,4.22485566252681,Ins1,DSS-IL10-KO,1
18,2.06021713241125,Ins1,DSS-IL10-KO,2
18,1.51240163743978,Ins1,DSS-IL10-KO,3
18,4.59587368125222,Ins1,DSS-IL10-KO,4
18,2.20859407900207,Ins2,DSS-IL10-KO,1
18,4.82895357835514,Ins2,DSS-IL10-KO,2
18,6.27487259759573,Ins2,DSS-IL10-KO,3
18,4.9989703467636,Ins2,DSS-IL10-KO,4
19,15.5224053593993,Ins1,IL10-KO,1
19,4.865975345469,Ins1,IL10-KO,2
19,0.385220774979189,Ins1,IL10-KO,3
19,3.11307063151207,Ins1,IL10-KO,4
19,-0.106754859813464,Ins2,IL10-KO,1
19,3.33017368895298,Ins2,IL10-KO,2
19,-3.36092827549419,Ins2,IL10-KO,3
19,1.97321059881779,Ins2,IL10-KO,4
19,1.10805371352399,Ins1,DSS-IL10-KO,1
19,7.25480773330446,Ins1,DSS-IL10-KO,2
19,1.2939573231115,Ins1,DSS-IL10-KO,3
19,-5.74655556784228,Ins1,DSS-IL10-KO,4
19,6.06189681108299,Ins2,DSS-IL10-KO,1
19,5.56390653551762,Ins2,DSS-IL10-KO,2
19,7.41080130446608,Ins2,DSS-IL10-KO,3
19,3.39161551250527,Ins2,DSS-IL10-KO,4
20,2.26339626204026,Ins1,IL10-KO,1
20,-1.19207672479706,Ins1,IL10-KO,2
20,4.42218879249231,Ins1,IL10-KO,3
20,0.700820983929134,Ins1,IL10-KO,4
20,-2.45016665865114,Ins2,IL10-KO,1
20,0.0683645047565733,Ins2,IL10-KO,2
20,2.16970166159126,Ins2,IL10-KO,3
20,4.68412394880261,Ins2,IL10-KO,4
20,-3.91032130096801,Ins1,DSS-IL10-KO,1
20,5.94472888636028,Ins1,DSS-IL10-KO,2
20,2.81380642520571,Ins1,DSS-IL10-KO,3
20,4.72537935438459,Ins1,DSS-IL10-KO,4
20,22.3029034680562,Ins2,DSS-IL10-KO,1
20,19.422647136596,Ins2,DSS-IL10-KO,2
20,16.8593058214856,Ins2,DSS-IL10-KO,3
20,13.7230922714966,Ins2,DSS-IL10-KO,4
21,8.41502212822434,Ins1,IL10-KO,1
21,5.48104972466626,Ins1,IL10-KO,2
21,-1.67001977321934,Ins1,IL10-KO,3
21,1.84317206178048,Ins1,IL10-KO,4
21,5.09702256831406,Ins2,IL10-KO,1
21,1.6240889870528,Ins2,IL10-KO,2
21,4.93260311859694,Ins2,IL10-KO,3
21,0.368273167819098,Ins2,IL10-KO,4
21,0.27877706278332,Ins1,DSS-IL10-KO,1
21,3.4847466759411,Ins1,DSS-IL10-KO,2
21,7.58744654488646,Ins1,DSS-IL10-KO,3
21,1.7810548650632,Ins1,DSS-IL10-KO,4
21,38.9442901672501,Ins2,DSS-IL10-KO,1
21,37.7314023186336,Ins2,DSS-IL10-KO,2
21,34.438268154161,Ins2,DSS-IL10-KO,3
21,26.4143159855207,Ins2,DSS-IL10-KO,4
22,8.45205187771535,Ins1,IL10-KO,1
22,5.58005853986697,Ins1,IL10-KO,2
22,4.43587379371502,Ins1,IL10-KO,3
22,1.57864386529536,Ins1,IL10-KO,4
22,1.48316601148872,Ins2,IL10-KO,1
22,5.4125094801152,Ins2,IL10-KO,2
22,6.32742936463182,Ins2,IL10-KO,3
22,0.559189047814925,Ins2,IL10-KO,4
22,9.73811151448172,Ins1,DSS-IL10-KO,1
22,0.970428633504525,Ins1,DSS-IL10-KO,2
22,5.1942470831209,Ins1,DSS-IL10-KO,3
22,3.12151751152487,Ins1,DSS-IL10-KO,4
22,87.8446614584019,Ins2,DSS-IL10-KO,1
22,77.0189397123986,Ins2,DSS-IL10-KO,2
22,69.0657234215714,Ins2,DSS-IL10-KO,3
22,62.8589051565259,Ins2,DSS-IL10-KO,4
23,8.82997518441971,Ins1,IL10-KO,1
23,-0.617863632645822,Ins1,IL10-KO,2
23,1.58779441681645,Ins1,IL10-KO,3
23,6.66371048290102,Ins1,IL10-KO,4
23,6.47917376554005,Ins2,IL10-KO,1
23,11.5544415624381,Ins2,IL10-KO,2
23,13.4526209924288,Ins2,IL10-KO,3
23,3.86562425804823,Ins2,IL10-KO,4
23,6.07777508463505,Ins1,DSS-IL10-KO,1
23,3.91181133113378,Ins1,DSS-IL10-KO,2
23,8.03405344231714,Ins1,DSS-IL10-KO,3
23,-6.01699024718482,Ins1,DSS-IL10-KO,4
23,157.599767277394,Ins2,DSS-IL10-KO,1
23,154.886745682582,Ins2,DSS-IL10-KO,2
23,138.04936765011,Ins2,DSS-IL10-KO,3
23,123.484990740598,Ins2,DSS-IL10-KO,4
24,6.8321475277985,Ins1,IL10-KO,1
24,1.03504884787753,Ins1,IL10-KO,2
24,-1.65058899087626,Ins1,IL10-KO,3
24,5.71706186889287,Ins1,IL10-KO,4
24,8.34876506974934,Ins2,IL10-KO,1
24,19.381569826061,Ins2,IL10-KO,2
24,19.1620262416313,Ins2,IL10-KO,3
24,6.13584373074809,Ins2,IL10-KO,4
24,-1.05090647501856,Ins1,DSS-IL10-KO,1
24,4.25224169931334,Ins1,DSS-IL10-KO,2
24,6.84008419378915,Ins1,DSS-IL10-KO,3
24,3.98916574129089,Ins1,DSS-IL10-KO,4
24,257.419171463376,Ins2,DSS-IL10-KO,1
24,253.686954486703,Ins2,DSS-IL10-KO,2
24,227.96981958834,Ins2,DSS-IL10-KO,3
24,204.521651517901,Ins2,DSS-IL10-KO,4
25,5.59119143123826,Ins1,IL10-KO,1
25,-2.91702590013438,Ins1,IL10-KO,2
25,4.30842673813186,Ins1,IL10-KO,3
25,0.402340183259184,Ins1,IL10-KO,4
25,23.5053955615417,Ins2,IL10-KO,1
25,31.1742480473349,Ins2,IL10-KO,2
25,30.3083274663318,Ins2,IL10-KO,3
25,19.3404271858353,Ins2,IL10-KO,4
25,1.01951310505137,Ins1,DSS-IL10-KO,1
25,0.184831097435108,Ins1,DSS-IL10-KO,2
25,1.50101878875421,Ins1,DSS-IL10-KO,3
25,3.10599083961915,Ins1,DSS-IL10-KO,4
25,382.204301775702,Ins2,DSS-IL10-KO,1
25,378.46053880497,Ins2,DSS-IL10-KO,2
25,345.375281571314,Ins2,DSS-IL10-KO,3
25,308.179073403714,Ins2,DSS-IL10-KO,4
26,3.69825216677009,Ins1,IL10-KO,1
26,-0.331112038396441,Ins1,IL10-KO,2
26,0.820028836682013,Ins1,IL10-KO,3
26,6.22549389387586,Ins1,IL10-KO,4
26,43.7803592300688,Ins2,IL10-KO,1
26,58.7207554725992,Ins2,IL10-KO,2
26,61.1790041878435,Ins2,IL10-KO,3
26,45.0905667165007,Ins2,IL10-KO,4
26,-1.35025374162433,Ins1,DSS-IL10-KO,1
26,0.827969517788006,Ins1,DSS-IL10-KO,2
26,0.268264734931563,Ins1,DSS-IL10-KO,3
26,-2.91325902504923,Ins1,DSS-IL10-KO,4
26,515.738941688196,Ins2,DSS-IL10-KO,1
26,516.935474145076,Ins2,DSS-IL10-KO,2
26,472.209277127579,Ins2,DSS-IL10-KO,3
26,421.690633211968,Ins2,DSS-IL10-KO,4
27,5.85108188989943,Ins1,IL10-KO,1
27,-0.508898156993837,Ins1,IL10-KO,2
27,5.33292080680258,Ins1,IL10-KO,3
27,4.11965105050194,Ins1,IL10-KO,4
27,88.8496458729293,Ins2,IL10-KO,1
27,113.436789765186,Ins2,IL10-KO,2
27,116.200195156236,Ins2,IL10-KO,3
27,86.2564253986243,Ins2,IL10-KO,4
27,-2.06703710839247,Ins1,DSS-IL10-KO,1
27,-3.93525579210973,Ins1,DSS-IL10-KO,2
27,6.44531468528658,Ins1,DSS-IL10-KO,3
27,0.936960629837813,Ins1,DSS-IL10-KO,4
27,643.577880515758,Ins2,DSS-IL10-KO,1
27,648.706586362836,Ins2,DSS-IL10-KO,2
27,597.865471133116,Ins2,DSS-IL10-KO,3
27,527.346092527729,Ins2,DSS-IL10-KO,4
28,0.801230921125807,Ins1,IL10-KO,1
28,3.88980633083565,Ins1,IL10-KO,2
28,4.34053772421021,Ins1,IL10-KO,3
28,4.23621873262846,Ins1,IL10-KO,4
28,152.224014275068,Ins2,IL10-KO,1
28,189.284486877183,Ins2,IL10-KO,2
28,194.442724824737,Ins2,IL10-KO,3
28,155.987334728611,Ins2,IL10-KO,4
28,1.8329192632491,Ins1,DSS-IL10-KO,1
28,-0.966856364148953,Ins1,DSS-IL10-KO,2
28,2.98870529837677,Ins1,DSS-IL10-KO,3
28,-1.49546499238068,Ins1,DSS-IL10-KO,4
28,752.898130762397,Ins2,DSS-IL10-KO,1
28,762.997876143645,Ins2,DSS-IL10-KO,2
28,706.839461560316,Ins2,DSS-IL10-KO,3
28,618.28249987508,Ins2,DSS-IL10-KO,4
29,2.87763165053593,Ins1,IL10-KO,1
29,3.767221359014,Ins1,IL10-KO,2
29,-1.84343641768555,Ins1,IL10-KO,3
29,3.8681571575994,Ins1,IL10-KO,4
29,239.328874057435,Ins2,IL10-KO,1
29,295.159465348035,Ins2,IL10-KO,2
29,302.519594445948,Ins2,IL10-KO,3
29,246.844882238857,Ins2,IL10-KO,4
29,-2.04866911409044,Ins1,DSS-IL10-KO,1
29,-1.83529651040362,Ins1,DSS-IL10-KO,2
29,0.571960030870286,Ins1,DSS-IL10-KO,3
29,-5.38478869557775,Ins1,DSS-IL10-KO,4
29,846.208581420488,Ins2,DSS-IL10-KO,1
29,860.122388695028,Ins2,DSS-IL10-KO,2
29,799.807515988178,Ins2,DSS-IL10-KO,3
29,693.567736211322,Ins2,DSS-IL10-KO,4
30,7.03284817943268,Ins1,IL10-KO,1
30,2.75221939748099,Ins1,IL10-KO,2
30,1.64954285400108,Ins1,IL10-KO,3
30,-1.65290583526394,Ins1,IL10-KO,4
30,347.741457667923,Ins2,IL10-KO,1
30,418.911277424312,Ins2,IL10-KO,2
30,430.620698789454,Ins2,IL10-KO,3
30,356.302671117117,Ins2,IL10-KO,4
30,-0.671211482413582,Ins1,DSS-IL10-KO,1
30,-1.80991080211788,Ins1,DSS-IL10-KO,2
30,3.94064134878136,Ins1,DSS-IL10-KO,3
30,3.84556438401205,Ins1,DSS-IL10-KO,4
30,921.410522569661,Ins2,DSS-IL10-KO,1
30,940.904432852749,Ins2,DSS-IL10-KO,2
30,876.143806658908,Ins2,DSS-IL10-KO,3
30,757.908959063056,Ins2,DSS-IL10-KO,4
31,2.10895536698126,Ins1,IL10-KO,1
31,4.85828040196429,Ins1,IL10-KO,2
31,-4.64571203106334,Ins1,IL10-KO,3
31,2.10075310594038,Ins1,IL10-KO,4
31,462.358762238616,Ins2,IL10-KO,1
31,544.437050220209,Ins2,IL10-KO,2
31,561.762611005106,Ins2,IL10-KO,3
31,474.147135090529,Ins2,IL10-KO,4
31,7.61417756054789,Ins1,DSS-IL10-KO,1
31,-1.08002393215202,Ins1,DSS-IL10-KO,2
31,0.321828989093774,Ins1,DSS-IL10-KO,3
31,1.61919453871633,Ins1,DSS-IL10-KO,4
31,983.470113168013,Ins2,DSS-IL10-KO,1
31,1008.93406973881,Ins2,DSS-IL10-KO,2
31,939.543871292675,Ins2,DSS-IL10-KO,3
31,809.156132405843,Ins2,DSS-IL10-KO,4
32,6.26237471576178,Ins1,IL10-KO,1
32,-2.63994935073151,Ins1,IL10-KO,2
32,0.816650076281803,Ins1,IL10-KO,3
32,3.70387461170731,Ins1,IL10-KO,4
32,574.867363135284,Ins2,IL10-KO,1
32,658.90184127472,Ins2,IL10-KO,2
32,681.952816896751,Ins2,IL10-KO,3
32,584.813127208761,Ins2,IL10-KO,4
32,9.92410749775263,Ins1,DSS-IL10-KO,1
32,0.0475976052148326,Ins1,DSS-IL10-KO,2
32,3.54388268046614,Ins1,DSS-IL10-KO,3
32,3.63160663916278,Ins1,DSS-IL10-KO,4
32,1031.16839064167,Ins2,DSS-IL10-KO,1
32,1062.97045367856,Ins2,DSS-IL10-KO,2
32,991.952747964972,Ins2,DSS-IL10-KO,3
32,851.848646277589,Ins2,DSS-IL10-KO,4
33,0.856642197081783,Ins1,IL10-KO,1
33,-3.6572790877949,Ins1,IL10-KO,2
33,-0.768218465338578,Ins1,IL10-KO,3
33,5.21421006365199,Ins1,IL10-KO,4
33,674.231059267067,Ins2,IL10-KO,1
33,758.039643654682,Ins2,IL10-KO,2
33,785.177206086181,Ins2,IL10-KO,3
33,683.819154114443,Ins2,IL10-KO,4
33,26.4177337951387,Ins1,DSS-IL10-KO,1
33,0.137722674783163,Ins1,DSS-IL10-KO,2
33,-0.0185886616591233,Ins1,DSS-IL10-KO,3
33,4.72189612574857,Ins1,DSS-IL10-KO,4
33,1071.94915792127,Ins2,DSS-IL10-KO,1
33,1107.93755373935,Ins2,DSS-IL10-KO,2
33,1034.65247829124,Ins2,DSS-IL10-KO,3
33,884.555989153312,Ins2,DSS-IL10-KO,4
34,-6.91510528712206,Ins1,IL10-KO,1
34,0.884171109309136,Ins1,IL10-KO,2
34,1.60337312295314,Ins1,IL10-KO,3
34,4.43538993827451,Ins1,IL10-KO,4
