Organ1,Organ2,Col1,Col2,Gene1,Gene2,N,Correlation,P_value,Group,Sig_raw
Liver,Spleen,Liver_Zfand6,Spleen_Insr,Zfand6,Insr,4,-0.023928449436153604,0.9760715505638464,DSS-IL10-KO,False
Liver,Spleen,Liver_Zfand6,Spleen_Mafa,Zfand6,Mafa,4,-0.3035518466448989,0.696448153355101,DSS-IL10-KO,False
Liver,Spleen,Liver_Zfand6,Spleen_Tcf19,Zfand6,Tcf19,4,0.27792317973074454,0.7220768202692556,DSS-IL10-KO,False
Liver,Spleen,Liver_Zfand6,Spleen_Zfand6,Zfand6,Zfand6,4,0.38254819456305533,0.6174518054369447,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Glut1,Spleen_Glut1,Glut1,Glut1,4,-0.519498867864163,0.480501132135837,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Glut1,Spleen_Insr,Glut1,Insr,4,-0.2323457166855865,0.7676542833144135,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Glut1,Spleen_Mafa,Glut1,Mafa,4,-0.7309020458047663,0.26909795419523386,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Glut1,Spleen_Tcf19,Glut1,Tcf19,4,-0.5656995332441563,0.43430046675584366,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Glut1,Spleen_Zfand6,Glut1,Zfand6,4,-0.5095554835069278,0.4904445164930722,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Ins1,Spleen_Glut1,Ins1,Glut1,3,0.03098838886780883,0.9802690201949671,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Ins1,Spleen_Insr,Ins1,Insr,3,0.8970107580481561,0.2914679460961911,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Ins1,Spleen_Mafa,Ins1,Mafa,3,-0.6257593044390171,0.5695784432718557,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Ins1,Spleen_Tcf19,Ins1,Tcf19,3,-0.6928531513377012,0.5127068106575355,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Ins1,Spleen_Zfand6,Ins1,Zfand6,3,-0.5680242782992048,0.6154159192385686,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Ins2,Spleen_Glut1,Ins2,Glut1,4,0.4639326253941938,0.5360673746058062,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Ins2,Spleen_Insr,Ins2,Insr,4,0.45431902673012026,0.5456809732698797,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Ins2,Spleen_Mafa,Ins2,Mafa,4,0.45083697605509065,0.5491630239449092,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Ins2,Spleen_Tcf19,Ins2,Tcf19,4,-0.11904207201254058,0.8809579279874593,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Ins2,Spleen_Zfand6,Ins2,Zfand6,4,-0.22985502888376624,0.7701449711162338,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Insr,Spleen_Glut1,Insr,Glut1,3,0.8475132656906689,0.3561975574685158,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Insr,Spleen_Insr,Insr,Insr,3,-0.07062484176974354,0.9550013684327083,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Insr,Spleen_Mafa,Insr,Mafa,3,0.9891292143597058,0.09395497906466216,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Insr,Spleen_Tcf19,Insr,Tcf19,3,-0.27331494405147894,0.8237597670059473,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Insr,Spleen_Zfand6,Insr,Zfand6,3,-0.4242854126111911,0.7210506584249138,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Mafa,Spleen_Glut1,Mafa,Glut1,4,0.8108573199528695,0.18914268004713053,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Mafa,Spleen_Insr,Mafa,Insr,4,0.8816287750095574,0.1183712249904425,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Mafa,Spleen_Mafa,Mafa,Mafa,4,0.6752867051290399,0.3247132948709601,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Mafa,Spleen_Tcf19,Mafa,Tcf19,4,0.8667353189813519,0.1332646810186482,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Mafa,Spleen_Zfand6,Mafa,Zfand6,4,0.8661503943051243,0.1338496056948757,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Srr,Spleen_Glut1,Srr,Glut1,4,0.7479797707598006,0.2520202292401994,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Srr,Spleen_Insr,Srr,Insr,4,0.8206953455811454,0.17930465441885457,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Srr,Spleen_Mafa,Srr,Mafa,4,0.6337639590893421,0.36623604091065776,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Srr,Spleen_Tcf19,Srr,Tcf19,4,0.24642944175298126,0.7535705582470187,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Srr,Spleen_Zfand6,Srr,Zfand6,4,0.15560066716067367,0.8443993328393264,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Tbc1d4,Spleen_Glut1,Tbc1d4,Glut1,4,-0.1723065360194278,0.8276934639805722,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Tbc1d4,Spleen_Insr,Tbc1d4,Insr,4,0.06204541980347508,0.937954580196525,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Tbc1d4,Spleen_Mafa,Tbc1d4,Mafa,4,-0.3768564603884571,0.6231435396115428,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Tbc1d4,Spleen_Tcf19,Tbc1d4,Tcf19,4,0.11259123100179688,0.8874087689982031,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Tbc1d4,Spleen_Zfand6,Tbc1d4,Zfand6,4,0.20497301524537756,0.7950269847546225,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Zfand6,Spleen_Glut1,Zfand6,Glut1,4,0.7114532554984488,0.28854674450155127,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Zfand6,Spleen_Insr,Zfand6,Insr,4,0.8529429719132874,0.14705702808671273,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Zfand6,Spleen_Mafa,Zfand6,Mafa,4,0.5224170359851151,0.47758296401488476,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Zfand6,Spleen_Tcf19,Zfand6,Tcf19,4,0.7221837176845536,0.2778162823154464,DSS-IL10-KO,False
Pancreas,Spleen,Pancreas_Zfand6,Spleen_Zfand6,Zfand6,Zfand6,4,0.7290576911261766,0.2709423088738234,DSS-IL10-KO,False
Colon,Kidney,Colon_Glp1r,Kidney_Glut1,Glp1r,Glut1,4,0.03405962934982487,0.9659403706501752,IL10-KO,False
Colon,Kidney,Colon_Glp1r,Kidney_Insr,Glp1r,Insr,4,-0.2519843326162482,0.7480156673837519,IL10-KO,False
Colon,Kidney,Colon_Glp1r,Kidney_Mafa,Glp1r,Mafa,4,-0.4433849397469891,0.5566150602530109,IL10-KO,False
Colon,Kidney,Colon_Glp1r,Kidney_Zfand6,Glp1r,Zfand6,4,-0.6590773697764576,0.3409226302235424,IL10-KO,False
Colon,Liver,Colon_Glp1r,Liver_Ghrhr,Glp1r,Ghrhr,4,-0.4275114602766311,0.572488539723369,IL10-KO,False
Colon,Liver,Colon_Glp1r,Liver_Glut1,Glp1r,Glut1,4,0.44296376291729556,0.5570362370827044,IL10-KO,False
Colon,Liver,Colon_Glp1r,Liver_Tbc1d4,Glp1r,Tbc1d4,4,-0.7713358072329393,0.22866419276706074,IL10-KO,False
Colon,Liver,Colon_Glp1r,Liver_Tcf19,Glp1r,Tcf19,4,-0.6565912320805612,0.34340876791943886,IL10-KO,False
Colon,Liver,Colon_Glp1r,Liver_Zfand6,Glp1r,Zfand6,4,-0.13315048097425608,0.8668495190257439,IL10-KO,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Glut1,Glp1r,Glut1,4,0.19534664614843214,0.8046533538515679,IL10-KO,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Ins2,Glp1r,Ins2,4,0.9632566618920891,0.03674333810791097,IL10-KO,True
Colon,Pancreas,Colon_Glp1r,Pancreas_Insr,Glp1r,Insr,4,0.4270726789763769,0.5729273210236232,IL10-KO,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Mafa,Glp1r,Mafa,4,-0.626632131789864,0.373367868210136,IL10-KO,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Srr,Glp1r,Srr,4,-0.7298997882741782,0.27010021172582177,IL10-KO,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Tbc1d4,Glp1r,Tbc1d4,4,0.8269685835763616,0.1730314164236384,IL10-KO,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Zfand6,Glp1r,Zfand6,4,0.9466428993564516,0.05335710064354826,IL10-KO,False
Colon,Spleen,Colon_Glp1r,Spleen_Glut1,Glp1r,Glut1,4,0.8865304593024856,0.11346954069751436,IL10-KO,False
Colon,Spleen,Colon_Glp1r,Spleen_Insr,Glp1r,Insr,4,0.6881079090865675,0.3118920909134326,IL10-KO,False
Colon,Spleen,Colon_Glp1r,Spleen_Mafa,Glp1r,Mafa,4,0.9956899779940711,0.004310022005928893,IL10-KO,True
Colon,Spleen,Colon_Glp1r,Spleen_Tcf19,Glp1r,Tcf19,4,0.8600524736414832,0.13994752635851682,IL10-KO,False
Colon,Spleen,Colon_Glp1r,Spleen_Zfand6,Glp1r,Zfand6,4,0.8572726252605473,0.14272737473945263,IL10-KO,False
Colon,Kidney,Colon_Insr,Kidney_Glut1,Insr,Glut1,4,0.6696516908140547,0.33034830918594515,IL10-KO,False
Colon,Kidney,Colon_Insr,Kidney_Insr,Insr,Insr,4,0.994751869640394,0.00524813035960614,IL10-KO,True
Colon,Kidney,Colon_Insr,Kidney_Mafa,Insr,Mafa,4,0.9782679028589562,0.021732097141043738,IL10-KO,True
Colon,Kidney,Colon_Insr,Kidney_Zfand6,Insr,Zfand6,4,0.9060971676134342,0.09390283238656583,IL10-KO,False
