Organ1,Organ2,Col1,Col2,Gene1,Gene2,N,Correlation,P_value,rank,BH_threshold,p_adj_BH,Sig_raw,Sig_BH
Kidney,Liver,Kidney_Glut1,Liver_Tcf19,Glut1,Tcf19,12,0.47207323280005786,0.12124807394842105,83,0.014459930313588852,0.41463432724499083,False,False
Colon,Pancreas,Colon_Mafa,Pancreas_Ins1,Mafa,Ins1,6,-0.7001877759008371,0.12135638846194854,84,0.014634146341463414,0.41463432724499083,False,False
Pancreas,Spleen,Pancreas_Srr,Spleen_Insr,Srr,Insr,12,0.46908126613877654,0.12395340415714415,85,0.01480836236933798,0.4185250234482397,False,False
Kidney,Pancreas,Kidney_Glut1,Pancreas_Srr,Glut1,Srr,12,-0.4650480850047182,0.12766230661502498,86,0.014982578397212544,0.42603583719200194,False,False
Liver,Spleen,Liver_Ghrhr,Spleen_Mafa,Ghrhr,Mafa,12,-0.4570490679440514,0.13523066365057249,87,0.015156794425087109,0.4461057525024632,False,False
Kidney,Spleen,Kidney_Mafa,Spleen_Zfand6,Mafa,Zfand6,12,-0.4518693649760693,0.14028336086807458,88,0.015331010452961672,0.45649861998836677,False,False
Colon,Kidney,Colon_Mafa,Kidney_Glut1,Mafa,Glut1,12,-0.4499019627069786,0.1422340048526013,89,0.015505226480836238,0.45649861998836677,False,False
Liver,Spleen,Liver_Zfand6,Spleen_Mafa,Zfand6,Mafa,12,-0.447145165780345,0.14499659311615615,90,0.0156794425087108,0.45649861998836677,False,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Ins1,Glp1r,Ins1,6,-0.6685916518373939,0.14654770297369785,91,0.015853658536585366,0.45649861998836677,False,False
Pancreas,Spleen,Pancreas_Zfand6,Spleen_Insr,Zfand6,Insr,12,-0.4391971960711341,0.1531534023131073,92,0.01602787456445993,0.45649861998836677,False,False
Liver,Spleen,Liver_Tbc1d4,Spleen_Mafa,Tbc1d4,Mafa,12,-0.4376802622575179,0.1547427593030991,93,0.016202090592334496,0.45649861998836677,False,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Glut1,Glp1r,Glut1,10,0.4845830612879263,0.15578091218376633,94,0.016376306620209058,0.45649861998836677,False,False
Kidney,Pancreas,Kidney_Mafa,Pancreas_Ins1,Mafa,Ins1,6,0.6544986900602242,0.15843528751500435,95,0.016550522648083623,0.45649861998836677,False,False
Colon,Liver,Colon_Mafa,Liver_Ghrhr,Mafa,Ghrhr,12,-0.4318959809869749,0.1608994676333052,96,0.01672473867595819,0.45649861998836677,False,False
Kidney,Liver,Kidney_Glut1,Liver_Ghrhr,Glut1,Ghrhr,12,0.42932249648871057,0.16368782437984142,97,0.016898954703832753,0.45649861998836677,False,False
Colon,Pancreas,Colon_Zfand6,Pancreas_Glut1,Zfand6,Glut1,10,0.47586041873430673,0.1644711756139592,98,0.01707317073170732,0.45649861998836677,False,False
Pancreas,Spleen,Pancreas_Tbc1d4,Spleen_Mafa,Tbc1d4,Mafa,12,-0.42823061841293797,0.16488004370420128,99,0.017247386759581883,0.45649861998836677,False,False
Liver,Pancreas,Liver_Glut1,Pancreas_Zfand6,Glut1,Zfand6,12,0.4259904924759061,0.16734317223637715,100,0.01742160278745645,0.45649861998836677,False,False
Kidney,Liver,Kidney_Insr,Liver_Glut1,Insr,Glut1,12,0.4248435576248686,0.1686132145498538,101,0.01759581881533101,0.45649861998836677,False,False
Liver,Spleen,Liver_Glut1,Spleen_Mafa,Glut1,Mafa,12,-0.42285206166291495,0.17083285887608574,102,0.017770034843205575,0.45649861998836677,False,False
Colon,Pancreas,Colon_Tcf19,Pancreas_Glut1,Tcf19,Glut1,10,0.46775628535982855,0.17280001242923893,103,0.01794425087108014,0.45649861998836677,False,False
Kidney,Pancreas,Kidney_Insr,Pancreas_Glut1,Insr,Glut1,10,-0.46747549186538473,0.17309299890685037,104,0.018118466898954706,0.45649861998836677,False,False
Liver,Pancreas,Liver_Tcf19,Pancreas_Ins1,Tcf19,Ins1,6,0.6359709461818585,0.17465568130266013,105,0.018292682926829267,0.45649861998836677,False,False
